name;y;x;is_public;label;
"Ambulatório Geral da Família Haroldo Bachmann (AGF Velha)
Rua José Reuter, 125 - Velha Central
Tel.: (47) 3381.6249";-26.9337586147653;-49.131035939608300;yes;agf_ambulatorio_geral_familia_haroldo_bachmann;
"ESF Walter Reiter I II III
Rua Guilherme Poerner, 1280 - Velha
Tel.: (47) 3381.6140";-26.9084556749548;-49.143679037760500;yes;esf_walter_reiter;
"ESF Adelina M. Brueckheimer
Rua José Reuter, 1415 - Velha Central
Tel.: (47) 3381.6172";-26.9329415176937;-49.141895324266300;yes;esf_adelina_m_brueckheimer;
"ESF Arão Rebello I e II
Rua Franz Muller, 1950 - Velha Grande
Tel.: (47) 3381.6601";-26.9500723116582;-49.13274082241680;yes;esf_arao_rebello;
"ESF Afonso Balsini
Rua José Reuter, 2412 - Velha Pequena
Tel.: (47) 3381.6336";-26.9370901046484;-49.14962418193720;yes;esf_afonso_balsini;
"ESF Paulo Pedro Mayerle I e II
Rua Johann Hadlich, 263 - Passo Manso
Tel.: (47) 3381.6400";-26.9024407928766;-49.15022628378720;yes;esf_paulo_pedro_mayerle;
"ESF Valério José Steil I II III
Rua João Pessoa, 1858 - Velha
Tel.: (47) 3381-6287 / 6288 / 6289";-26.9183851171164;-49.09132141077330;yes;esf_valerio_jose_steil;
"ESF Nair Neves Pereira
Rua Matos Costa, 77 - Passo Manso
Tel.: (47) 3381.6470";-26.9172033458441;-49.15227815310230;yes;esf_nair_neves_pereira;
"ESF Waldemar Felski I e II
Rua General Osório, 660 - Velha
Tel.: (47) 3381.6351";-26.9198705802881;-49.106235012622200;yes;esf_waldemar_felski;
"Ambulatório Geral da Família Marilene G. de Aguiar (AGF Escola Agrícola)
Rua Norberto Seara Heusi, 477 - Escola Agrícola
Tel.: (47) 3381.6267 / 3381.6268";-26.8935929727076;-49.10296280432540;yes;agf_ambulatorio_geral_familia_marilene_g_de_aguiar;
"ESF Augusto César Viana I e II
Rua General Osório, 2677 - Água Verde
Tel.: (47) 3381.6727";-26.9101965887778;-49.12009958021530;yes;esf_augusto_cesar_viana;
"ESF Áurea Pfuetzenreiter I e II
Rua Bahia, 5353 - Salto Weissbach
Tel.: (47) 3381.6629 / 3381.6631";-26.8927883202174;-49.1280771261166;yes;esf_aurea_pfuetzenreiter;
"ESF Edemar Eduardo Winkler
Rua Aquidabã, 94 - Escola Agrícola (Coripós)
Tel.: (47) 3381.6119 / 3381.6120";-26.9038394328372;-49.103532841458400;yes;esf_edemar_eduardo_winkler;
"ESF Ivanilde Bernardi
Rua Matheus Bragagnolo, 865 (fundos) - Água Verde
Tel.: (47) 3381.6694";-26.9051345990346;-49.110054212622600;yes;esf_ivanilde_bernardi;
"ESF Augusto Antonio Schweigert
Rua Bahia, 4001 - Salto Weissbach
Tel.: (47) 3381.7349";-26.8867060881447;-49.11763151262340;yes;esf_augusto_antonio_schweigert;
"ESF Jovino Cardoso I e III
Rua Maria Popoer, s/nº - Água Verde
Tel.: (47) 3381.6110 / 6111 / 6112 / 6114";-26.9140257737844;-49.1034646396092;yes;esf_jovino_cardoso;
"Ambulatório Geral da Família Irmã Marta E. Kunzmann (AGF Garcia)
Rua Progresso, 141 - Progresso";-26.9609609839585;-49.069288139607500;yes;agf_ambulatorio_geral_familia_irma_marta_e_kunzmann;
"ESF Thamara Katryne Rodrigues Schmidt I e II
Rua Santa Maria, 2056 - Progresso";-26.9933545363835;-49.092617308921800;yes;esf_thamara_katryne_rodrigues_schmidt;
"ESF Benedito C. Rocha
Rua Santa Terezinha, 295 - Progresso";-26.9761188084063;-49.077706826113600;yes;esf_benedito_c_rocha;
"ESF Dr. Wilson Santhiago
Rua Antônio Zendron, 1625 - Valparaíso";-26.9543138365781;-49.086077512601400;yes;esf_dr_wilson_santhiago;
"ESF Frei João Maria
Rua Belo Horizonte, 228 - Glória";-26.9652511780793;-49.06391578008720;yes;esf_frei_joao_maria;
"ESF Enfermeira Tânia Leite
Rua Francisco Benigno, 55 - Jordão";-26.9971317213958;-49.068770939606200;yes;esf_enfermeira_tania_leite;
"ESF Marli Batschauer
Rua Itapuí, s/n - Garcia";-26.9463986244833;-49.06594895495010;yes;esf_marli_batschauer;
"ESF Silvana Witte
Rua Helmuth Goll, s/n - Progresso (Canto do Rio)";-26.9865115676283;-49.08234696066970;yes;esf_silvana_witte;
